student_id,age,attendance_percentage,current_gpa,failed_subjects,backlogs,assignment_completion_percentage,internal_assessment_marks,exam_score,lms_activity_score,fee_pending,counseling_sessions,dropout
STU2861,21,61.4,8.0,1,0,82.6,66.4,46.1,72.3,1,1,0
STU1354,22,78.4,5.34,0,0,54.5,41.7,61.6,68.2,0,2,0
STU2334,21,71.2,8.49,0,0,64.7,78.3,66.9,89.6,0,1,0
STU1906,23,76.5,8.04,0,0,92.3,66.2,59.0,54.6,0,0,0
STU2290,22,63.7,8.57,1,1,67.3,64.8,77.1,75.6,0,0,0
STU2274,21,71.5,7.39,2,1,85.4,59.7,62.9,76.2,0,0,0
STU1939,22,71.2,7.5,0,1,75.2,68.8,45.3,52.6,0,0,0
STU2732,20,84.4,6.83,0,0,71.6,63.9,48.0,47.8,1,0,0
STU1066,22,73.9,7.22,1,2,85.5,34.2,76.2,90.6,0,0,0
STU2324,18,85.3,5.96,2,2,97.6,74.0,49.8,72.2,0,0,0
STU1057,20,70.1,7.67,0,0,95.2,66.0,40.7,44.8,1,1,0
STU2293,20,70.1,7.14,0,0,70.4,67.0,56.4,94.4,0,0,0
STU2119,21,66.1,6.09,2,2,76.4,50.9,44.8,71.4,0,0,1
STU1585,21,81.5,6.5,0,0,69.4,59.2,64.1,86.7,0,0,0
STU1375,21,71.7,7.68,2,1,80.7,73.6,74.1,93.6,0,0,1
STU1276,21,39.2,6.41,1,1,64.3,70.6,40.4,86.1,0,2,0
STU1747,23,88.6,7.55,2,1,61.1,58.3,59.1,79.1,0,0,0
STU1129,20,81.1,6.59,1,2,76.2,62.9,59.5,89.5,0,0,0
STU2647,20,93.1,5.29,0,1,73.5,52.7,67.4,69.5,0,0,0
STU2853,20,59.8,7.45,0,0,73.4,66.2,48.0,73.0,1,1,0
STU1675,22,73.1,7.08,2,2,62.9,50.7,72.7,82.9,0,2,0
STU2665,22,74.0,7.8,0,1,75.6,73.3,50.4,62.0,1,0,0
STU2982,20,72.9,8.3,0,0,98.2,39.9,68.0,95.1,0,1,0
STU2084,21,69.7,6.58,1,1,54.9,84.0,86.1,89.7,1,1,0
STU2923,18,62.8,9.51,0,0,33.1,60.8,69.5,64.4,0,0,0
STU1100,19,94.5,6.58,2,2,91.0,53.3,21.7,72.2,0,1,0
STU2180,21,80.6,6.13,0,0,63.7,82.1,75.1,49.0,0,1,0
STU1965,20,76.3,6.15,0,0,81.6,44.8,35.4,75.3,0,0,0
STU1793,21,66.6,7.53,0,0,39.1,71.8,76.5,57.1,1,1,0
STU1030,21,70.3,7.0,0,0,85.7,56.9,95.0,88.3,0,2,0
STU1629,19,66.2,6.1,2,2,79.0,87.1,59.0,58.8,0,2,0
STU1945,21,74.4,6.64,2,3,86.0,75.5,52.3,58.6,0,0,0
